dataset,horizon,xlinear_mse,sdrtr_mse,sdrtrc_mse,rel_improve_vs_xlinear_pct,xlinear_mae,sdrtr_mae,sdrtrc_mae,beta,val_sdrtrc_mse
etth1,96,0.3741380572319031,0.3746015429496765,0.3741380572319031,0.0,0.39412009716033936,0.39427512884140015,0.39412009716033936,0.0,0.692459762096405
etth1,192,0.4227639138698578,0.4230685830116272,0.4224741458892822,-0.06854132319930284,0.42292606830596924,0.42350834608078003,0.42287081480026245,0.5978686281851943,0.9775032997131348
etth1,336,0.4708874225616455,0.4715932309627533,0.4708874225616455,0.0,0.4434986114501953,0.4435920715332031,0.4434986114501953,0.0,1.3133715391159058
etth1,720,0.4579344391822815,0.4644092321395874,0.4599838852882385,0.4475413794203074,0.458442360162735,0.46316754817962646,0.4600239098072052,0.45831093869530504,1.5812679529190063
etth2,96,0.2864163815975189,0.2864301800727844,0.2864163815975189,0.0,0.33703508973121643,0.33706530928611755,0.33703508973121643,0.0,0.20860204100608826
etth2,192,0.3666561543941498,0.3670625686645508,0.3665921986103058,-0.017442986590439895,0.39030972123146057,0.3903818428516388,0.3902415931224823,0.10003145899592482,0.2722052037715912
etth2,336,0.37931668758392334,0.37752822041511536,0.37931668758392334,0.0,0.4072851240634918,0.40646257996559143,0.4072851240634918,0.0,0.36429691314697266
etth2,720,0.4121254086494446,0.41123080253601074,0.4121254086494446,0.0,0.433309942483902,0.43272098898887634,0.433309942483902,0.0,0.6226332187652588
ettm1,96,0.31371599435806274,0.3125142455101013,0.3120530843734741,-0.5300686016954064,0.3532963693141937,0.3521290719509125,0.3517637848854065,0.7112876670677756,0.38209807872772217
ettm1,192,0.3546670973300934,0.3549426794052124,0.3549426794052124,0.07770161855824215,0.37737902998924255,0.37732642889022827,0.37732642889022827,1.0,0.5009950399398804
ettm1,336,0.38167715072631836,0.38375189900398254,0.38203027844429016,0.09252000474741859,0.3986620008945465,0.3995470106601715,0.3984798789024353,0.6694104834437492,0.6387424468994141
ettm1,720,0.44498786330223083,0.44636788964271545,0.446010559797287,0.2298257052376164,0.43648725748062134,0.4370480477809906,0.43682536482810974,0.8958008574153132,0.9550864696502686
ettm2,96,0.1685066670179367,0.1682032197713852,0.1679791808128357,-0.31303580709056744,0.25095129013061523,0.2503303289413452,0.25014084577560425,0.7172496587015703,0.1211862862110138
ettm2,192,0.23372676968574524,0.23336154222488403,0.23336154222488403,-0.15626257161396986,0.29376310110092163,0.29367080330848694,0.29367080330848694,1.0,0.16536836326122284
ettm2,336,0.2907719016075134,0.29091522097587585,0.29003387689590454,-0.2538156911065909,0.33249783515930176,0.3313769996166229,0.33113306760787964,0.5013988155962263,0.21216726303100586
ettm2,720,0.390961229801178,0.3917678892612457,0.39111194014549255,0.03854866744490712,0.39136290550231934,0.39139071106910706,0.3912271559238434,0.41179476549865596,0.2864615023136139
weather,96,0.152378648519516,0.1523904800415039,0.15203893184661865,-0.2229424372758034,0.20086687803268433,0.2000611275434494,0.1998874396085739,0.6472184063211186,0.3826713263988495
weather,192,0.20196866989135742,0.2006559818983078,0.2005668729543686,-0.694066529102203,0.24593715369701385,0.24418045580387115,0.24421364068984985,0.5945006675553826,0.45349109172821045
weather,336,0.25974905490875244,0.26010948419570923,0.25920066237449646,-0.21112397673540215,0.28714925050735474,0.2877398431301117,0.28672415018081665,0.21485639891874497,0.5343096256256104
weather,720,0.34048736095428467,0.3415513038635254,0.33974477648735046,-0.21809457621362538,0.34127095341682434,0.34253016114234924,0.3408425450325012,0.4777724637443635,0.6661844253540039
electricity,96,0.13747313618659973,0.13764971494674683,0.13623394072055817,-0.9014091773970573,0.23644733428955078,0.23780575394630432,0.23553694784641266,0.6531379288613686,0.11744002997875214
electricity,192,0.15404459834098816,0.15704011917114258,0.1543854922056198,0.22129556524731958,0.24887721240520477,0.2534564733505249,0.2496444582939148,0.5378687040380394,0.13180460035800934
electricity,336,0.17260916531085968,0.17483055591583252,0.17224912345409393,-0.20858791369353497,0.2672561705112457,0.26919007301330566,0.2663538157939911,0.4251451654594182,0.15119415521621704
electricity,720,0.20551639795303345,0.2161417454481125,0.20506666600704193,-0.2188302006413586,0.2980382740497589,0.3063223361968994,0.2976130545139313,0.07927299156131264,0.18676157295703888
traffic,96,0.4332026243209839,0.43333837389945984,0.43268734216690063,-0.11894714508964996,0.28113165497779846,0.28121405839920044,0.2803766131401062,0.5269852122932752,0.37654542922973633
traffic,192,0.45073360204696655,0.45113614201545715,0.45041918754577637,-0.06975617077632998,0.28916990756988525,0.2896159291267395,0.28866809606552124,0.2690951192213612,0.3776600658893585
traffic,336,0.4654867649078369,0.46583297848701477,0.46521270275115967,-0.058876465957417384,0.2956041991710663,0.2951325476169586,0.29480093717575073,0.37303758977884577,0.3889157474040985
traffic,720,0.5078533887863159,0.5082198977470398,0.5076693296432495,-0.03624257455606954,0.3154264986515045,0.31614166498184204,0.3151882290840149,0.11283906380184304,0.42910411953926086
hogprice,96,0.05180695652961731,0.05169186368584633,0.05180695652961731,0.0,0.1466769576072693,0.14680884778499603,0.1466769576072693,0.0,0.02807243913412094
hogprice,192,0.08251462131738663,0.07008565217256546,0.08251462131738663,0.0,0.19854533672332764,0.1933612823486328,0.19854533672332764,0.0,0.046984199434518814
